id;regex;uniform_short_identifier
1;^Adobe Postscript AFM License \(APAFML\)$;APAFML
2;^AFLv2\.1$;AFL-2.1
3;^Apache$;Apache-Style
4;^Similar to Apache License but with the acknowledgment clause removed$;Apache-Style
5;^AL 2\.0$;Apache-2.0
6;^Apache Software License, Version 1\.1$;Apache-1.1
7;^Apache 2\.0 License$;Apache-2.0
8;^Apache 2\.0$;Apache-2.0
9;^Apache License,? 2\.0$;Apache-2.0
10;^Apache License [Vv]2\.0$;Apache-2.0
11;^Apache License [Vv]ersion 2(\.0)?$;Apache-2.0
12;^Apache License, [Vv]ersion 2\.0$;Apache-2.0
13;^Apache License \(v2\.0\)$;Apache-2.0
14;^Apache Public License 2\.0$;Apache-2.0
15;^Apache Software License - Version 2\.0$;Apache-2.0
16;^Apache Software License \(ASF\), Version 2\.0$;Apache-2.0
17;^Apache License v2\.0$;Apache-2.0
18;^Apache v?2$;Apache-2.0
19;^Artistic License$;Artistic-Style
20;^Artistic$;Artistic-Style
21;^Artistic-2$;Artistic-2.0
22;^ASF 2\.0$;Apache-2.0
23;^ASL 2\.0$;Apache-2.0
24;^\$\{basedir\}/LICENSE\.txt$;Non-Licensed
25;^3-Clause BSD License$;BSD-3-Clause
26;^Berkeley Software Distribution License \(BSD\), Version 2\.0$;BSD-3-Clause
27;^Berkeley Software Distribution License \(BSD\), Version 3\.0$;BSD-3-Clause
28;^Bouncy Castle License$;Bouncy Castle Licence
29;^BSD 2\.0$;BSD-3-Clause
30;^BSD-2 based$;BSD-3-Clause
31;^BSD 2-Clause License$;BSD-2-Clause
32;^BSD 2-Clause$;BSD-2-Clause
33;^BSD-2-clause$;BSD-2-Clause
34;^BSD 3-Clause License$;BSD-3-Clause
35;^BSD 3-clause New License$;BSD-3-Clause
36;^BSD 3-[Cc]lause$;BSD-3-Clause
37;^BSD-3-clause$;BSD-3-Clause
38;^BSD-4-clause$;BSD-4-Clause
39;^BSD License 2\.0$;BSD-3-Clause
40;^BSD Licen[sc]e$;BSD-Style
41;^BSD-lite$;BSD-Style
42;^BSD[- ]style$;BSD-Style
43;^BSD-Style License$;BSD-Style
44;^BSD-variant$;BSD-Style
45;^BSDLICENSE\.txt$;BSD-Style
46;^BSD$;BSD-Style
47;^GFDL-1\.1\+?$;GFDL-1.1-or-later
48;^GFDL-1\.2\+?$;GFDL-1.2-or-later
49;^GFDL-1\.3\+?$;GFDL-1.3-or-later
50;^GFDL-NIV-1\.3\+?$;GFDL-1.3-no-invariants-or-later
51;^GPL-1\.0$;GPL-1.0-only
52;^GPL-2\.0-or-later with [aA]utoconf exception$;GPL-2.0-with-autoconf-exception
53;^GPL2 w/ CPE$;GPL-2.0-with-classpath-exception
54;^GPLv2\+CE$;GPL-2.0-with-classpath-exception
55;^GPLv2 with classpath exception$;GPL-2.0-with-classpath-exception
56;^GPL-3\.0-or-later-WITH-BISON-EXCEPTION$;GPL-3.0-with-bison-exception
57;^GPL-2\.0-or-later with libtool exception$;GPL-2.0-with-libtool-exception
58;^GPL-3\.0-or-later with OpenSSL exception$;GPL-3.0-with-OpenSSL-exception
59;^GPL-\s?2(\.0)?$;GPL-2.0-only
60;^GPL [Vv]2$;GPL-2.0-only
